id_x,host_id,host_response_rate,host_is_superhost,host_listings_count,accommodates,bathrooms,bedrooms,beds,price,avg_rating,number_of_reviews,neighbourhood_cleansed_freq,property_type_freq
972276448507521738,445920789,1.0,1,4,4.0,2.0,2.0,2.0,3000,4.975714285714285,144,0.17643028434395341,0.4502683567431769
972294471500132350,534738858,1.0,1,1,2.0,1.0,1.0,1.0,700,4.835714285714286,400,0.2551101975562407,0.4502683567431769
972423354783102339,19843965,1.0,1,13,4.0,1.5,2.0,2.0,1500,4.821428571428571,16,0.17643028434395341,0.4502683567431769
972630996311121289,255727382,1.0,1,29,2.0,1.0,1.0,0.0,800,4.881428571428572,144,0.2551101975562407,0.4502683567431769
972850917862419205,118651282,1.0,0,1,7.0,1.0,1.0,4.0,2500,5.0,4,0.010505881009478132,0.1747173689619733
972908842627507615,488733978,1.0,1,47,2.0,1.0,0.0,1.0,668,4.892857142857143,16,0.17643028434395341,0.4502683567431769
972973197186285701,29333663,1.0,1,1,8.0,2.0,4.0,4.0,3945,5.0,144,0.17643028434395341,0.1747173689619733
973606596343788821,495109343,1.0,1,1,4.0,2.0,2.0,2.0,4607,4.924285714285714,576,0.2551101975562407,0.4502683567431769
973665518789851336,218745884,1.0,1,98,6.0,2.0,3.0,3.0,3540,4.92,1444,0.2551101975562407,0.4502683567431769
973707989302015574,158521397,1.0,1,11,6.0,1.5,3.0,0.0,1500,4.678571428571429,16,0.0509306840242092,0.4502683567431769
973710748070684148,7869930,1.0,1,3,4.0,2.0,2.0,3.0,1964,4.857142857142857,1,0.07068630809638003,0.1747173689619733
973753140998116713,535615191,1.0,0,1,4.0,2.0,2.0,2.0,1346,4.8100000000000005,36,0.2551101975562407,0.4502683567431769
973788277242769338,535624893,1.0,0,1,6.0,2.5,3.0,3.0,4999,4.642857142857143,144,0.17643028434395341,0.4502683567431769
973820778194895905,287356204,1.0,1,1,2.0,1.0,1.0,1.0,1200,4.988571428571428,144,0.2551101975562407,0.4502683567431769
974255773676636780,255727382,1.0,1,29,4.0,2.0,2.0,2.0,1300,4.7700000000000005,225,0.2551101975562407,0.4502683567431769
974347832579048491,26483598,1.0,1,2,2.0,1.0,1.0,1.0,936,4.962857142857142,3600,0.17643028434395341,0.4502683567431769
974456315025302500,487012580,1.0,0,145,2.0,1.0,1.0,1.0,884,4.885714285714285,961,0.2551101975562407,0.4502683567431769
974509424344618203,32095550,1.0,1,1,1.0,1.0,1.0,1.0,624,4.904285714285714,36,0.17643028434395341,0.4502683567431769
974721940699278041,39174880,1.0,1,47,4.0,2.0,2.0,2.0,1995,4.930000000000001,256,0.2551101975562407,0.4502683567431769
974791869212319792,90798683,1.0,1,37,4.0,2.0,2.0,4.0,2016,4.785714285714286,16,0.2551101975562407,0.4502683567431769
975147398178043498,535942042,1.0,1,1,4.0,2.0,2.0,3.0,1255,4.895714285714285,64,0.2551101975562407,0.4502683567431769
975186094109561111,218745884,1.0,1,98,2.0,1.0,1.0,1.0,905,4.910000000000001,1089,0.2551101975562407,0.4502683567431769
975409142845809412,39363758,1.0,0,1,6.0,3.0,3.0,3.0,7000,5.0,9,0.023638232271325797,0.1747173689619733
975675001506878315,155225702,1.0,0,10,4.0,1.0,0.0,4.0,807,4.857142857142857,1,0.006280689733927144,0.4502683567431769
975681279736810944,306669596,0.83,0,1,2.0,1.0,1.0,1.0,250,4.142857142857143,36,0.0020554984583761563,0.04670549274865821
975838044452538821,429666093,1.0,1,8,13.0,5.5,7.0,7.0,13714,4.914285714285714,25,0.17643028434395341,0.03916866506794564
976164908841535328,536178299,1.0,1,1,4.0,1.0,2.0,2.0,1007,4.954285714285715,625,0.17643028434395341,0.4502683567431769
976479334856852539,429666093,1.0,1,8,6.0,3.0,3.0,4.0,2655,4.835714285714286,49,0.07068630809638003,0.4502683567431769
976517360993372939,429666093,1.0,1,8,4.0,1.0,2.0,2.0,2975,5.0,1,0.2551101975562407,0.4502683567431769
976676119389773475,20600730,0.98,0,87,6.0,2.0,3.0,4.0,1313,4.587142857142857,81,0.0509306840242092,0.011305241521068859
976676338870939303,20600730,0.98,0,87,6.0,2.0,3.0,4.0,2062,4.7700000000000005,256,0.0509306840242092,0.4502683567431769
976920601417705421,9864017,1.0,1,2,2.0,1.5,1.0,1.0,740,4.89,196,0.07068630809638003,0.04670549274865821
977079336298126712,518041308,1.0,0,1,1.0,1.0,1.0,1.0,514,4.828571428571428,100,0.023638232271325797,0.012218796391458262
977341116252900754,536404214,1.0,1,1,2.0,1.0,1.0,1.0,1550,4.948571428571428,196,0.05401393171177344,0.4502683567431769
977412363732248244,25991174,1.0,1,10,3.0,1.0,1.0,2.0,954,4.842857142857143,400,0.17643028434395341,0.4502683567431769
977422383500727838,404162146,1.0,1,1,2.0,1.5,1.0,2.0,684,4.885714285714286,1764,0.2551101975562407,0.4502683567431769
977652426712027774,255727382,1.0,1,29,2.0,2.0,1.0,0.0,757,5.0,4,0.04464999429028206,0.4502683567431769
977978894934144866,70379432,1.0,1,2,4.0,2.0,2.0,2.0,1755,4.841428571428572,64,0.022153705606943016,0.062464314262875416
978015924152838039,70486926,1.0,0,2,2.0,1.0,1.0,1.0,1300,5.0,25,0.02626470252369533,0.04670549274865821
978103453120609470,185308070,0.96,0,104,2.0,1.0,1.0,2.0,1173,4.7128571428571435,36,0.17643028434395341,0.4502683567431769
978284127124521552,165761197,1.0,1,18,6.0,2.5,3.0,0.0,8000,4.857142857142857,1,0.02283887175973507,0.1747173689619733
978312855225305401,39174880,1.0,1,47,4.0,2.0,2.0,2.0,2082,4.855714285714285,144,0.2551101975562407,0.4502683567431769
978408205464918857,488733978,1.0,1,47,2.0,1.0,0.0,1.0,594,4.75,16,0.17643028434395341,0.4502683567431769
978650421590703299,536722398,1.0,0,1,6.0,3.5,3.0,3.0,4469,4.522857142857142,9,0.17643028434395341,0.4502683567431769
978692297714679606,536728958,1.0,1,1,2.0,1.0,1.0,1.0,761,4.678571428571429,16,0.04430741121388603,0.4502683567431769
978692401908792919,127304448,1.0,1,27,2.0,1.0,1.0,0.0,3627,4.878571428571429,49,0.2551101975562407,0.4502683567431769
978715227001115963,116553176,1.0,1,2,3.0,1.0,2.0,2.0,423,4.857142857142857,49,0.01324654562064634,0.4502683567431769
978746137628404123,255727382,1.0,1,29,3.0,1.0,1.0,0.0,680,4.738571428571428,144,0.2551101975562407,0.4502683567431769
978763380738463503,447507612,0.99,0,70,2.0,1.0,1.0,1.0,1392,4.6899999999999995,36,0.2551101975562407,0.4502683567431769
978804509114887696,4071855,1.0,0,2,2.0,1.0,1.0,2.0,529,5.0,49,0.2551101975562407,0.04670549274865821
978838559821162529,25122328,1.0,1,20,4.0,2.0,2.0,2.0,5336,4.890000000000001,81,0.2551101975562407,0.4502683567431769
